交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價,
1060525,2568,肉栓(沿海),彰化,214,69,60,91.4,69.2,
1060525,2571,剝皮魚,埔心,249,228.8,220,54.9,225.6,
1060525,2572,剝皮魚去頭,台中,0,255.5,0,36,255.5,
1060525,2781,鮭魚,台北,354.1,309.4,284.3,985.2,313.3,
1060525,2999,其他非凍結魚,新竹,152,74.4,68.5,865.4,88.7,
1060525,3011,加臘(凍),桃園,0,0,70,20,70,
1060525,3119,其他鮪魚(凍),嘉義,132.5,107.2,66.7,582.4,104.2,
1060525,3132,紅肉旗(凍),高雄,75,70.3,70,1895,71.2,
1060525,3161,魷魚(凍),新竹,100,0,0,25,100,
1060525,3164,透抽(凍),三重,240,240,240,7.6,240,
1060525,3203,紅條(凍),嘉義,325.6,303.4,275.9,50,302.4,
1060525,3251,皮刀(凍),台北,0,30,0,100,30,
1060525,3341,白帶魚(凍),斗南,197.8,197,197,60,197.2,
1060525,3641,鱈魚(凍),三重,270,270,270,7,270,
1060525,3641,鱈魚(凍),埔心,360,310,310,62,331,
1060525,3641,鱈魚(凍),彰化,354,345,331,44.4,345,
1060525,3642,圓鱈,台中,0,800,0,13,800,
1060525,3781,鮭魚(凍),佳里,372,320,288,64.9,341.7,
1060525,3781,鮭魚(凍),苗栗,395,0,0,51,395,
1060525,4010,溪蝦,桃園,0,147,0,9.5,147,
1060525,4051,斑節蝦(海),高雄,1000,1000,1000,18,1000,
1060525,4512,紅蟳,嘉義,219.4,61.6,8.1,34,82.5,
1060525,5022,文蛤養,彰化,0,99,0,12.6,99,
1060525,5999,其他貝類,苗栗,35,30,25,90,29,
1060525,6010,鮭魚片,三重,120,106.4,100,115,107.8,
1060525,6016,鮭,埔心,0,330,0,27.8,305.8,
1060525,6031,魚丸,台中,0,69,0,60,69,
1060525,6049,其他加工,岡山,184.5,67.2,27,55,82.6,
1060525,6049,其他加工,新營,127.6,88.2,30,121,84.4,
1060525,6051,熟小破,苗栗,285,230,175,252,224,
1060525,9999,其他,彰化,69.4,69.4,69.4,3.2,69.4,
1060525,1011,吳郭魚,彰化,46,43,10,4052.8,42.9,
1060525,1012,尼羅紅魚,埔心,94.8,81.1,75.2,210.4,82.2,
1060525,1019,其他吳郭,嘉義,66.4,59.6,43,2437.5,57.7,
1060525,1023,草魚,佳里,100,73,60,199.6,74.8,
1060525,1023,草魚,彰化,90,80,62,350,79.8,
1060525,1041,虱目魚,嘉義,133,125.8,87.4,1728,119.6,
1060525,1043,虱目魚頭,彰化,16,9,3,173,9,
1060525,1071,金目鱸,台北,137.6,106.1,73.7,4980.6,105.9,
1060525,1071,金目鱸,苗栗,135,117.5,100,642,109.5,
1060525,1072,加州鱸,苗栗,140,110,80,66,108.1,
1060525,1072,加州鱸,新營,140,122.7,100.9,54,121.8,
1060525,1073,七星鱸,新竹,168.4,151.6,129.2,253.8,150.5,
1060525,1074,銀花鱸,新營,136,135.7,135,30,135.6,
1060525,1074,銀花鱸,彰化,162,121,70,252,120.8,
1060525,1086,三角仔【養】,台中,0,488,0,6,488,
1060525,1102,泥鰍,彰化,0,179,178,30,178.5,
1060525,1141,田蛙,嘉義,71.9,68.2,65.1,480,68.3,
1060525,1161,加臘(養殖),台北,0,280,0,5.3,280,
1060525,1163,黑鯛(養殖),斗南,182,172.7,163.3,56.5,178.3,
1060525,1171,青石斑,三重,230,230,230,6,230,
1060525,1171,青石斑,台中,529,319.9,191.3,522,268.6,
1060525,1171,青石斑,佳里,270,0,180,50,231.5,
1060525,1171,青石斑,苗栗,190,132.5,75,66,125.9,
1060525,1172,淡水珍珠石斑,彰化,176,158,142,87,157.5,
1060525,1173,龍膽石斑,埔心,0,285,0,4.5,290.4,
1060525,1181,黃臘鰺(紅杉),桃園,231.7,178,0,90,195.4,
1060525,1511,金龍(養殖),彰化,246,236,224,30,235.6,
1060525,2011,加臘(沿海),台中,0,428,0,11,428,
1060525,2012,赤宗,三重,450,450,450,21.4,450,
1060525,2013,盤仔,嘉義,90,59.7,51,42,64,
1060525,2019,其他鯛類(沿海),三重,950.3,950.3,950.3,1.8,950.3,
1060525,2019,其他鯛類(沿海),高雄,251.5,200,200,192.9,210.3,
1060525,2041,秋姑,新竹,320,0,0,1.9,320,
