從事項目,編號,許可機關,核准日期,核准文號,許可期間,研究作業人員數,進出漁港,目的事業主管機關,備註,核准船數,
拍攝漁撈作業,1,臺東縣政府,105年2月5日,府農漁字第1050026890號,105年2月8日~105年8月31日,3,臺東縣新港,,,1,
拍攝漁撈作業,2,屏東縣政府,103年10月15日,屏府農漁字第10371466400號,103年10月15日~103年12月31日,5,屏東縣興海,文化部,文化部,1,
拍攝漁撈作業,3,臺東縣政府,103年9月12日,府農漁字第1030180945號,103年9月12日~103年12月31日,5,新港,行政院文化部,行政院文化部,1,
拍攝漁撈作業,4,基隆市政府,103年9月22日,基府產事貳字第103056000號,103年9月23日~103年10月15日,4,八斗子漁港、碧砂漁港,,,1,
拍攝漁撈作業,5,屏東縣政府,103年12月11日,屏府農漁10377865500,103年12月12日~103年12月31日,3,屏東縣天福、屏東縣漁福、屏東縣琉球新、屏東縣小琉球、屏東縣杉福,文化部,文化部,1,
拍攝漁撈作業,6,屏東縣政府,104年3月30日,屏府農漁字第10409678500號,104年4月1日~104年4月1日,1,屏東縣天福、屏東縣小琉球、屏東縣琉球新、屏東縣杉福、屏東縣漁福,,,1,
拍攝漁撈作業,7,花蓮縣政府,104年5月13日,花蓮縣政府府農漁字第1040091346號函,104年5月14日~104年6月30日,8,花蓮漁港,WilmaTV，Inc,WilmaTV，Inc,2,
拍攝漁撈作業,8,屏東縣政府,102年5月30日,屏府農漁字第10216331600號,102年5月30日~102年5月30日,2,屏東縣小琉球,,,1,
拍攝漁撈作業,9,臺東縣政府,102年12月20日,府農漁字第1020244011號,102年12月15日~102年12月31日,3,成功,,,1,
拍攝漁撈作業,10,宜蘭縣政府,102年9月16日,漁一1020008804,102年9月16日~102年11月30日,1,宜蘭縣南方澳,宜蘭縣漁業管理所,宜蘭縣漁業管理所,1,
拍攝漁撈作業,11,嘉義縣政府,104年5月14日,1040086378,104年5月14日~104年5月23日,1,嘉義縣塭港型厝安檢所,三立電視股份有限公司,三立電視股份有限公司,1,
拍攝漁撈作業,12,屏東縣政府,102年7月9日,屏府農漁字第10217135000號,102年7月9日~102年8月3日,4,屏東縣竹坑,,,1,
拍攝漁撈作業,13,屏東縣政府,103年5月13日,屏府農漁字第10314432700號,103年5月13日~103年5月23日,4,屏東縣小琉球、屏東縣杉福,三立電視股份有限公司節目部台灣尚青節目,三立電視股份有限公司節目部台灣尚青節目,2,
拍攝漁撈作業,14,宜蘭縣政府,103年10月30日,漁一1030009905,103年10月30日~103年11月9日,1,宜蘭縣石城,三立電視股份有限公司,三立電視股份有限公司,1,
拍攝漁撈作業,15,基隆市政府,104年7月6日,基府產事貳字1040038531號函,104年7月6日~104年8月31日,5,八斗子漁港、南方澳漁港,,,3,
拍攝漁撈作業,16,宜蘭縣政府,104年7月9日,漁一1040006052,104年7月9日~104年8月31日,5,南方澳漁港、八斗子漁港,,,3,
拍攝漁撈作業,17,基隆市政府,104年7月7日,基府產事貳字1040038944號函,104年7月7日~104年8月31日,2,八斗子漁港,財團法人公共電視文化事業基金會,財團法人公共電視文化事業基金會,1,
拍攝漁撈作業,18,臺東縣政府,103年10月21日,府農漁字第1030210221號,103年10月21日~103年12月31日,4,新港漁港,文化部,文化部,1,
拍攝漁撈作業,19,臺中市政府,105年3月28日,中市漁行字第1050001402號函,105年3月28日~105年4月24日,3,臺中市麗水,鑫傳視訊廣告股份有限公司,鑫傳視訊廣告股份有限公司,3,
拍攝漁撈作業,20,花蓮縣政府,104年4月30日,花蓮縣政府府農漁字第1040080622號,104年5月8日~104年5月13日,8,花蓮港,花蓮縣政府,花蓮縣政府,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,21,行政院農業委員會漁業署,103年9月9日,漁二字第1031215179號,103年9月9日~103年11月30日,4,高雄市蚵子寮,,,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,22,行政院農業委員會漁業署,102年7月30日,漁二字第1021322733號,102年7月30日~102年8月2日,3,高雄市鳳鼻頭,漁業署,漁業署,2,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,23,金門縣政府,103年4月14日,府建漁字第1030028591號,103年4月11日~103年12月31日,29,各漁港、各漁港泊地,金門縣政府,金門縣政府,13,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,24,行政院農業委員會漁業署,102年7月16日,漁二字第1021219475,102年7月16日~102年11月30日,9,高雄市蚵子寮,,,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,25,臺東縣政府,104年6月1日,府農漁字第1040106878號,104年5月31日~104年10月31日,6,,臺東縣政府,臺東縣政府,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,26,行政院農業委員會漁業署,103年9月3日,漁二字第1031215206號,103年9月3日~103年9月20日,8,屏東縣東港鹽埔,林邊區漁會,林邊區漁會,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,27,行政院農業委員會漁業署,103年7月24日,漁二字第1031212499號,103年7月24日~103年12月30日,3,嘉義縣白水湖、嘉義縣鰲鼓、嘉義縣好美里、嘉義縣下庄、嘉義縣副瀨、嘉義縣布袋、嘉義縣東石、嘉義縣塭港、嘉義縣副瀨,內政部,內政部,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,28,嘉義縣政府,103年4月8日,1030065535,103年4月8日~103年12月31日,16,嘉義縣塭港、嘉義縣鰲鼓、嘉義縣白水湖、嘉義縣東石、嘉義縣網寮、嘉義縣下庄、嘉義縣好美里、嘉義縣副瀨、嘉義縣布袋,嘉義縣政府,嘉義縣政府,2,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,29,臺南市政府,103年4月30日,南市農漁所字第1030206556號,103年4月30日~103年12月31日,2,臺南市北門、臺南市青山、臺南市海寮,,,3,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,30,行政院農業委員會漁業署,102年10月25日,漁二字1021326948,102年10月28日~102年10月31日,12,東港鹽埔,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,31,行政院農業委員會漁業署,103年10月13日,漁二字第1031217633號,103年10月13日~103年11月15日,5,屏東縣枋寮,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,32,屏東縣政府,102年4月25日,屏府農漁字第10212304700號,102年5月1日~102年5月1日,4,屏東縣海口,,,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,33,行政院農業委員會漁業署,102年8月13日,漁二字第1021222643,102年8月15日~102年8月15日,1,屏東縣東港鹽埔,漁業署,漁業署,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,34,行政院農業委員會漁業署,102年7月23日,漁二字第1021220263,102年7月25日~102年7月25日,1,澎湖縣竹灣,漁業署,漁業署,1,
水產資源增殖放流、人工魚礁投設及維護管理、覆網清除、海污事件處理、海面養殖漁業放養量查報、漁業災損查估,35,苗栗縣政府,104年11月25日,府農漁字第1040246979號,104年11月25日~105年1月31日,12,苗栗縣通霄、苗栗縣苑港、苗栗縣苑裡,苗栗縣通苑區漁會,苗栗縣通苑區漁會,2,
漁船、漁具、漁法等之研究、調查及試驗,36,行政院農業委員會漁業署,105年4月20日,漁二字第1051206028號,105年4月20日~105年12月31日,14,高雄市旗后、高雄市旗津、高雄市中洲、高雄市前鎮、高雄市鼓山,台灣港務股份有限公司高雄港務酚公司,台灣港務股份有限公司高雄港務酚公司,1,
漁船、漁具、漁法等之研究、調查及試驗,37,行政院農業委員會漁業署,105年5月12日,漁二字第1051326908號,105年5月1日~105年12月30日,6,新北市深澳,中央研究院,中央研究院,1,
漁船、漁具、漁法等之研究、調查及試驗,38,行政院農業委員會漁業署,105年3月2日,漁二字第1051202788號,105年3月2日~105年3月20日,28,高雄市鼓山、高雄市旗后、高雄市小港臨海新村、高雄市前鎮、高雄市鳳鼻頭、高雄市蚵子寮,經濟部工業局高雄臨海林園大發工業區聯合污水處理廠,經濟部工業局高雄臨海林園大發工業區聯合污水處理廠,6,
漁船、漁具、漁法等之研究、調查及試驗,39,苗栗縣政府,105年6月2日,府農漁字第1050107672號,105年6月2日~105年12月31日,7,苗栗縣龍鳳、苗栗縣外埔,國立臺灣海洋大學,國立臺灣海洋大學,2,
漁船、漁具、漁法等之研究、調查及試驗,40,行政院農業委員會漁業署,102年11月8日,漁二字第1021227993號,102年11月8日~102年12月31日,3,梧棲漁港,行政院環境保護署,行政院環境保護署,1,
漁船、漁具、漁法等之研究、調查及試驗,41,行政院農業委員會漁業署,102年10月23日,漁二字1021226449,102年10月1日~102年12月31日,4,臺東縣小港、臺東縣新港、臺東縣基翬、花蓮縣石梯、花蓮縣花蓮、臺東縣烏石鼻、臺東縣石雨傘、臺東縣長濱,行政院農業委員會水產試驗所,行政院農業委員會水產試驗所,7,
漁船、漁具、漁法等之研究、調查及試驗,42,行政院農業委員會漁業署,104年9月8日,漁二字第1041262061號,104年9月8日~104年12月31日,5,臺南市將軍,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
漁船、漁具、漁法等之研究、調查及試驗,43,行政院農業委員會漁業署,105年6月17日,漁二字第1051209985號,105年6月17日~105年12月31日,14,臺東縣伽藍,臺東縣政府,臺東縣政府,1,
漁船、漁具、漁法等之研究、調查及試驗,44,行政院農業委員會漁業署,102年10月23日,漁二字1021326813,102年10月1日~102年12月31日,4,臺東縣石雨傘、臺東縣長濱、花蓮縣石梯、花蓮縣花蓮、臺東縣小港、臺東縣新港、臺東縣基翬、臺東縣烏石鼻,行政院農業委員會水產試驗所,行政院農業委員會水產試驗所,6,
漁船、漁具、漁法等之研究、調查及試驗,45,臺中市政府,105年3月30日,中市漁行字第1050001522號函,105年3月25日~105年12月31日,6,臺中市梧棲,,,1,
漁船、漁具、漁法等之研究、調查及試驗,46,彰化縣政府,105年5月27日,府農漁字第1050176243號,105年5月1日~105年12月31日,7,彰化縣崙尾灣,國立臺灣海洋大學,國立臺灣海洋大學,1,
漁船、漁具、漁法等之研究、調查及試驗,47,行政院農業委員會漁業署,104年8月13日,漁二字第1041216554號,104年8月13日~104年10月31日,2,高雄市鳳鼻頭、高雄市中芸、高雄市中洲、高雄市港埔、高雄市彌陀、高雄市旗津、高雄市旗后、高雄市蚵子寮、高雄市永新、高雄市上竹里、高雄市汕尾、高雄市興達、高雄市鼓山、高雄市小港臨海新村、高雄市白砂崙,國立台灣大學,國立台灣大學,1,
漁船、漁具、漁法等之研究、調查及試驗,48,行政院農業委員會漁業署,104年9月17日,漁二字第1041262812號,104年9月17日~105年7月31日,8,桃園市永安漁港,,,1,
海域開發需要之環境影響調查、監測,49,行政院農業委員會漁業署,103年3月20日,漁二字第1031328429號,103年3月20日~104年11月9日,11,新北市淡水第一、新北市淡水第二、新北市下罟子、桃園縣永安、桃園縣竹圍,台灣電力股份有限公司核能火力發電工程處北部施工處,台灣電力股份有限公司核能火力發電工程處北部施工處,2,
海域開發需要之環境影響調查、監測,50,行政院農業委員會漁業署,103年1月24日,漁二字第1031327678號,103年1月24日~103年11月8日,20,桃園縣永安、桃園縣竹圍、新竹,台灣電力股份有限公司,台灣電力股份有限公司,7,
海域開發需要之環境影響調查、監測,51,行政院農業委員會漁業署,104年8月13日,漁二字第1041328918號,104年8月13日~104年12月15日,15,宜蘭縣烏石,經濟部水利署第一河川局,經濟部水利署第一河川局,1,
海域開發需要之環境影響調查、監測,52,行政院農業委員會漁業署,103年6月19日,漁二字第1031210396號,103年6月19日~104年2月5日,12,金門縣新湖漁港,,,2,
海域開發需要之環境影響調查、監測,53,行政院農業委員會漁業署,104年1月28日,漁二字第1041326174號,104年1月28日~105年12月31日,16,新竹,台灣電力股份有限公司,台灣電力股份有限公司,2,
海域開發需要之環境影響調查、監測,54,行政院農業委員會漁業署,104年2月9日,漁二字第1041202602號,104年2月9日~104年12月31日,12,高雄市永新、高雄市鳳鼻頭、高雄市港埔、臺南市四草、臺南市安平、高雄市中芸、高雄市興達、高雄市蚵子寮、東港鹽埔、屏東縣水利村、屏東縣塭豐、屏東縣枋寮、屏東縣楓港、屏東縣海口,,,1,
海域開發需要之環境影響調查、監測,55,行政院農業委員會漁業署,104年3月3日,漁二字第1041203421號,104年3月3日~104年12月31日,4,臺東縣伽藍,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
海域開發需要之環境影響調查、監測,56,行政院農業委員會漁業署,103年5月2日,漁二字第1031329044號,103年5月2日~103年12月31日,3,台中梧棲漁港,行政院環保署,行政院環保署,1,
海域開發需要之環境影響調查、監測,57,行政院農業委員會漁業署,103年3月12日,漁二字第1031328382號,103年3月12日~103年12月31日,4,東港鹽埔漁港,交通部觀光局,交通部觀光局,1,
海域開發需要之環境影響調查、監測,58,行政院農業委員會漁業署,105年1月21日,漁二字第1051250429號,105年1月21日~105年12月31日,7,臺東縣伽藍,,,1,
海域開發需要之環境影響調查、監測,59,行政院農業委員會漁業署,104年8月26日,漁二字第1041217733號,104年8月26日~105年1月31日,3,桃園市永安漁港,桃園市環境保護局,桃園市環境保護局,1,
海域開發需要之環境影響調查、監測,60,行政院農業委員會漁業署,105年4月19日,漁二字第1051326420號,105年4月19日~105年8月31日,26,彰化縣王功、彰化縣崙尾灣、彰化縣塭仔、臺中市梧棲,,,2,
海域開發需要之環境影響調查、監測,61,行政院農業委員會漁業署,105年3月9日,漁二字第1051203395號,105年3月9日~105年12月31日,2,臺中市梧棲,台灣電力股份有限公司,台灣電力股份有限公司,1,
海域開發需要之環境影響調查、監測,62,行政院農業委員會漁業署,103年3月12日,漁二字第1031328308號,103年3月12日~104年10月21日,13,麥寮專用港、雲林縣三條崙漁港,台塑石化股份有限公司,台塑石化股份有限公司,2,
海域開發需要之環境影響調查、監測,63,行政院農業委員會漁業署,103年1月6日,漁二字第1031200034號,103年1月6日~104年3月31日,13,高雄市旗津、高雄市中芸、臺東縣伽藍、臺東縣新港、嘉義縣布袋、高雄市興達,行政院環保署,行政院環保署,6,
海域開發需要之環境影響調查、監測,64,行政院農業委員會漁業署,103年4月23日,漁二字第1031328835號,103年4月23日~103年11月30日,8,新北市磺港、新北市草里、八斗子、新北市野柳、新北市水尾、新北市石門,,,2,
海域開發需要之環境影響調查、監測,65,行政院農業委員會漁業署,103年2月26日,漁二字第1031328102號,103年2月26日~103年12月31日,16,新北市澳底、宜蘭縣烏石、基隆市八斗子、台南市安平、彰化縣塭仔、屏東縣小琉球、高雄市彌陀、花蓮縣花蓮、臺東縣伽藍、、臺南市將軍、新竹市新竹、屏東縣香蕉灣、屏東縣香蕉灣漁港,,,13,
海域開發需要之環境影響調查、監測,66,行政院農業委員會漁業署,102年3月14日,漁二字第1021206572,102年3月14日~102年12月23日,2,高雄市中洲,環保署,環保署,1,
海域開發需要之環境影響調查、監測,67,行政院農業委員會漁業署,104年8月18日,漁二字第1041328962號,104年8月18日~104年12月31日,22,屏東縣東港鹽埔、屏東縣後灣、屏東縣潭仔、屏東縣枋寮、屏東縣香蕉灣、屏東縣後壁湖、屏東縣水利村、屏東縣鼻頭、屏東縣楓港、屏東縣紅柴坑、屏東縣海口、屏東縣塭豐,經濟部水利署水利規劃試驗所,經濟部水利署水利規劃試驗所,1,
海域開發需要之環境影響調查、監測,68,行政院農業委員會漁業署,104年4月20日,漁二字第1041254637號,104年4月20日~105年12月31日,19,彰化縣防潮門泊地、臺中市梧棲、彰化縣塭仔、彰化縣崙尾灣、彰化縣王功、彰化縣芳苑、雲林縣許厝寮泊地、雲林縣五條港、臺中市麗水,經濟部工業局,經濟部工業局,3,
海域開發需要之環境影響調查、監測,69,行政院農業委員會漁業署,104年4月20日,漁二字第1041254400號,104年5月1日~105年1月31日,12,高雄市前鎮、高雄市小港臨海新村、高雄市中洲、高雄市旗后、高雄市鼓山,國立高雄海洋科技大學,國立高雄海洋科技大學,2,
海域開發需要之環境影響調查、監測,70,行政院農業委員會漁業署,103年12月12日,漁二字第1031222091號,103年12月12日~103年12月28日,7,高雄市鳳鼻頭,高雄市海洋局,高雄市海洋局,2,
海域開發需要之環境影響調查、監測,71,行政院農業委員會漁業署,104年2月13日,漁二字第1041251841號,104年2月13日~104年12月31日,19,高雄市鳳鼻頭、高雄市前鎮,高雄市政府環境保護局,高雄市政府環境保護局,2,
海域開發需要之環境影響調查、監測,72,行政院農業委員會漁業署,102年6月26日,漁二字第1021217728號,102年6月26日~102年7月31日,1,金門縣新湖漁港、金門縣復國墩漁港,經濟部水利署水利規劃試驗所,經濟部水利署水利規劃試驗所,2,
海域開發需要之環境影響調查、監測,73,行政院農業委員會漁業署,103年2月18日,漁二字第1031327893號,103年2月18日~103年12月31日,7,新竹漁港,台灣電力股份有限公司,台灣電力股份有限公司,1,
海域開發需要之環境影響調查、監測,74,行政院農業委員會漁業署,103年3月12日,漁二字第1031328396號,103年3月12日~103年12月31日,27,雲林縣三條崙、雲林縣箔子寮,經濟部工業局,經濟部工業局,2,
海域開發需要之環境影響調查、監測,75,行政院農業委員會漁業署,102年2月25日,漁二字第1021204291,102年2月25日~102年12月31日,18,雲林縣台西、嘉義縣東石、雲林縣五條港、嘉義縣布袋、雲林縣許厝寮泊地、雲林縣蚊港泊地、嘉義縣好美里、雲林縣三條崙、雲林縣金湖、雲林縣箔子寮、雲林縣台子村、雲林縣林厝寮泊地,經濟部工業局,經濟部工業局,4,
海域開發需要之環境影響調查、監測,76,行政院農業委員會漁業署,105年3月11日,漁二字第1051203738號,105年3月11日~105年8月23日,8,彰化縣崙尾灣、彰化縣王功、雲林縣五條港、雲林縣台西、雲林縣三條崙、雲林縣箔子寮、雲林縣金湖、雲林縣台子村,,,1,
海域開發需要之環境影響調查、監測,77,行政院農業委員會漁業署,102年6月4日,漁二字第1021322154,102年6月4日~102年12月31日,8,新北市馬崗、宜蘭縣大里、新北市卯澳、宜蘭縣石城、宜蘭縣大溪、新北市福隆、宜蘭縣梗枋、新北市龍門、新北市鼻頭、新北市南雅、新北市澳底、宜蘭縣南方澳、宜蘭縣清水、新北市澳仔、宜蘭縣烏石,國營會,國營會,3,
海域開發需要之環境影響調查、監測,78,行政院農業委員會漁業署,102年2月18日,漁二字第1021202759,102年2月18日~102年12月31日,12,臺東縣伽藍、臺東縣新港、嘉義縣布袋、高雄市興達、高雄市旗津、高雄市中芸,環保署,環保署,7,
海域開發需要之環境影響調查、監測,79,行政院農業委員會漁業署,103年5月9日,漁二字第1031329131號,103年5月9日~104年3月31日,20,高雄市旗津、高雄市旗后、高雄市鼓山,臺灣港務股份有限公司高雄港務分公司,臺灣港務股份有限公司高雄港務分公司,2,
海域開發需要之環境影響調查、監測,80,行政院農業委員會漁業署,103年8月25日,漁二字第1031214260號,103年8月25日~104年6月9日,19,臺南市安平、臺南市青山、臺南市馬沙溝、臺南市將軍,台南市政府環境保護局,台南市政府環境保護局,1,
海域開發需要之環境影響調查、監測,81,行政院農業委員會漁業署,103年3月18日,漁二字第1031328418號,103年3月18日~103年12月31日,20,高雄市前鎮、高雄市鳳鼻頭,高雄市政府環境保護局,高雄市政府環境保護局,2,
海域開發需要之環境影響調查、監測,82,行政院農業委員會漁業署,102年7月16日,漁二字第1021219525,102年7月22日~102年12月31日,22,高雄市前鎮、高雄市鳳鼻頭,高雄市政府環境保護局,高雄市政府環境保護局,2,
海域開發需要之環境影響調查、監測,83,行政院農業委員會漁業署,103年5月15日,漁二字第1031208397號,103年5月15日~103年12月30日,8,新北市淡水第二、梧棲漁港、梧棲漁港、旗津漁港、前鎮漁港,交通部運輸研究所,交通部運輸研究所,4,
海域開發需要之環境影響調查、監測,84,行政院農業委員會漁業署,103年3月25日,漁二字第1031328637號,103年3月25日~103年3月31日,6,新北市澳底、新北市福隆,台灣電力股份有限公司,台灣電力股份有限公司,1,
海域開發需要之環境影響調查、監測,85,行政院農業委員會漁業署,103年4月2日,漁二字第1031328633號,103年4月2日~105年3月31日,21,宜蘭縣南方澳漁港,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
海域開發需要之環境影響調查、監測,86,行政院農業委員會漁業署,104年9月18日,漁二字第1041262886號,104年9月18日~105年7月31日,2,連江縣福澳,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
海域開發需要之環境影響調查、監測,87,行政院農業委員會漁業署,102年1月30日,漁二字第1021320393,102年1月30日~102年12月31日,4,高雄市旗津、高雄市旗后、高雄市上竹里、高雄市大汕頭、高雄市小港臨海新村、高雄市高雄商港、高雄市前鎮、高雄市鼓山、高雄市中洲,環保署,環保署,2,
海域開發需要之環境影響調查、監測,88,行政院農業委員會漁業署,103年5月13日,漁二字第1031208361號,103年5月13日~103年12月20日,13,屏東縣枋寮、屏東縣海口漁港,經濟部水利署第七河川局,經濟部水利署第七河川局,2,
海域開發需要之環境影響調查、監測,89,臺中市政府,105年1月22日,中市漁行字第1050000392號,105年1月25日~105年11月30日,4,臺中市麗水,交通部公路總局第二區養護工程處,交通部公路總局第二區養護工程處,1,
海域開發需要之環境影響調查、監測,90,行政院農業委員會漁業署,104年3月10日,漁二字第1041326689號,104年3月10日~104年12月31日,9,高雄市中芸、高雄市旗津、高雄市旗后、高雄市鳳鼻頭,教育部,教育部,1,
海域開發需要之環境影響調查、監測,91,行政院農業委員會漁業署,105年3月3日,漁二字第1051203070號,105年3月3日~105年12月31日,9,臺中市梧棲、臺南市將軍、高雄市旗津、新北市淡水第一、新北市淡水第二、桃園市竹圍、新竹市新竹,臺北市政府工務局衛生下水道工程處,臺北市政府工務局衛生下水道工程處,1,
海域開發需要之環境影響調查、監測,92,行政院農業委員會漁業署,104年3月23日,漁二字第1041253405號,104年3月23日~104年12月31日,10,嘉義縣布袋,交通部,交通部,1,
海域開發需要之環境影響調查、監測,93,行政院農業委員會漁業署,102年3月19日,漁二字第1021207076,102年3月19日~102年12月31日,2,金門縣后豐泊地,金門縣政府,金門縣政府,4,
海域開發需要之環境影響調查、監測,94,行政院農業委員會漁業署,105年4月25日,漁二字第1051206032號,105年4月25日~105年10月30日,4,金門縣新湖、金門縣復國墩,金門縣自來水廠,金門縣自來水廠,2,
海域開發需要之環境影響調查、監測,95,行政院農業委員會漁業署,103年5月15日,漁二字第1031329437號,103年5月15日~103年12月31日,20,彰化縣崙尾灣,彰化縣政府,彰化縣政府,1,
海域開發需要之環境影響調查、監測,96,彰化縣政府,105年5月10日,府農漁字第1050156607號,105年4月1日~105年7月31日,6,彰化縣崙尾灣,台灣國際造船股份有限公司,台灣國際造船股份有限公司,1,
海域開發需要之環境影響調查、監測,97,行政院農業委員會漁業署,104年3月9日,漁二字第1041252720號,104年3月9日~104年3月31日,4,彰化縣塭仔,,,1,
海域開發需要之環境影響調查、監測,98,行政院農業委員會漁業署,104年2月9日,漁二字第1041326303號,104年2月9日~105年12月31日,9,高雄市永新、高雄市彌陀,教育部,教育部,1,
海域開發需要之環境影響調查、監測,99,行政院農業委員會漁業署,105年3月9日,漁二字第1051203478號,105年3月9日~105年12月31日,4,澎湖縣潭門、澎湖縣龍門、澎湖縣大池、澎湖縣尖山、澎湖縣中社,,,1,
海域開發需要之環境影響調查、監測,100,行政院農業委員會漁業署,104年1月13日,漁二字第1041250160號,104年1月31日~105年1月31日,12,高雄市前鎮、高雄市上竹里、高雄市中洲、高雄市旗后、高雄市小港臨海新村、高雄市旗津、高雄市永安,國立高雄海洋科技大學,國立高雄海洋科技大學,2,
海域開發需要之環境影響調查、監測,101,行政院農業委員會漁業署,104年6月15日,漁二字第1041212878號,104年6月15日~105年8月31日,11,桃園縣竹圍、新北市淡水第二、桃園縣永安、桃園市永安,,,3,
海域開發需要之環境影響調查、監測,102,行政院農業委員會漁業署,103年5月9日,漁二字第1031329398號,103年5月9日~104年12月31日,2,苗栗縣通霄,台灣電力公司,台灣電力公司,1,
海域開發需要之環境影響調查、監測,103,行政院農業委員會漁業署,103年7月16日,漁二字第1031211897號,103年7月16日~104年1月30日,21,臺南市將軍、臺南市馬沙溝、臺南市青山、臺南市安平,,,1,
海域開發需要之環境影響調查、監測,104,行政院農業委員會漁業署,105年3月22日,漁二字第1051204079號,105年3月22日~105年6月30日,11,彰化縣崙尾灣,彰化縣政府,彰化縣政府,1,
海域開發需要之環境影響調查、監測,105,行政院農業委員會漁業署,103年3月13日,漁二字第1031328462號,103年3月15日~103年12月31日,6,嘉義縣布袋,台灣港務股份有限公司高雄港務分公司,台灣港務股份有限公司高雄港務分公司,1,
海域開發需要之環境影響調查、監測,106,行政院農業委員會漁業署,102年10月30日,1021227298,102年10月30日~102年12月30日,11,澎湖縣赤崁、澎湖縣吉貝、澎湖縣鳥嶼、澎湖縣馬公、澎湖縣龍門、澎湖縣岐頭,澎湖縣政府,澎湖縣政府,1,
海域開發需要之環境影響調查、監測,107,行政院農業委員會漁業署,103年8月14日,漁二字第1031213751號,103年8月14日~103年10月30日,12,新竹市新竹、苗栗縣外埔、苗栗縣龍鳳,,,1,
海域開發需要之環境影響調查、監測,108,行政院農業委員會漁業署,103年1月13日,漁二字第1031200401號,103年1月13日~103年12月31日,20,雲林縣台西、雲林縣台子村、雲林縣許厝寮泊地、彰化縣芳苑、臺中市麗水、雲林縣三條崙、臺中市梧棲、彰化縣塭仔、、彰化縣王功、彰化縣崙尾灣、雲林縣五條港、彰化縣防潮門泊地、彰化縣福寶泊地、雲林縣箔子寮,經濟部工業局,經濟部工業局,3,
海域開發需要之環境影響調查、監測,109,行政院農業委員會漁業署,104年6月2日,漁二字第1041256970號,104年6月2日~104年9月25日,4,桃園縣永安,行政院農業委員會漁業署,行政院農業委員會漁業署,2,
海域開發需要之環境影響調查、監測,110,行政院農業委員會漁業署,104年4月10日,漁二字第1041206494號,104年4月10日~106年4月9日,9,高雄市旗后、高雄市旗津、高雄市前鎮、高雄市鼓山,,,1,
海域開發需要之環境影響調查、監測,111,行政院農業委員會漁業署,102年7月12日,漁二字第1021322573號,102年7月12日~102年12月10日,13,彰化縣福寶泊地、彰化縣芳苑、雲林縣五條港、苗栗縣南港、雲林縣許厝寮泊地、新竹縣美山、苗栗縣龍鳳、雲林縣台子村、新竹縣竹北市新港里、新竹縣坡頭、雲林縣台西、新竹縣港北、新竹縣新豐、雲林縣金湖、新竹市新竹、苗栗縣通霄、雲林縣箔子寮、新竹市海山、苗栗縣公司寮、彰化縣三豊、苗栗縣外埔、新竹市舊港、雲林縣三條崙、苗栗縣苑港、新竹市浸水、苗栗縣青草、苗栗縣苑裡、臺南市安平、新竹縣鳳坑村、雲林縣下湖口泊地、雲林縣成龍泊地、雲林縣土地銀行港、雲林縣溪仔崙泊地、雲林縣林厝寮泊地、雲林縣蚊港泊地、苗栗縣塭仔頭、彰化縣崙尾灣、彰化縣王功、彰化縣塭仔、彰化縣崑崙台、苗栗縣福寧、苗栗縣白沙屯、苗栗縣新埔、苗栗縣渡船頭、彰化縣防潮門泊地,經濟部,經濟部,1,
